,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
6251,Ｅ・ＨＥＲＯ シャドー・ミスト【制限カード】,効果,4,闇,戦士,1000,1500,50720316,「Ｅ・ＨＥＲＯ シャドー・ミスト」の(1)(2)の効果は１ターンに１度、いずれか１つしか使用できない。(1)：このカードが特殊召喚に成功した場合に発動できる。デッキから「チェンジ」速攻魔法カード１枚を手札に加える。(2)：このカードが墓地へ送られた場合に発動できる。デッキから「Ｅ・ＨＥＲＯ シャドー・ミスト」以外の「ＨＥＲＯ」モンスター１体を手札に加える。
6252,マスク・チェンジ・セカンド【制限カード】,速攻魔法,,,,,,93600443,「マスク・チェンジ・セカンド」は１ターンに１枚しか発動できない。(1)：手札を１枚捨て、自分フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターを墓地へ送り、そのモンスターよりレベルが高く同じ属性の「Ｍ・ＨＥＲＯ」モンスター１体を、「マスク・チェンジ」による特殊召喚扱いとしてエクストラデッキから特殊召喚する。
6253,フォーム・チェンジ,速攻魔法,,,,,,84536654,(1)：自分フィールドの「ＨＥＲＯ」融合モンスター１体を対象として発動できる。そのモンスターをエクストラデッキへ戻し、そのモンスターの元々のレベルと同じレベルでカード名が異なる「Ｍ・ＨＥＲＯ」モンスター１体を、「マスク・チェンジ」による特殊召喚扱いとしてエクストラデッキから特殊召喚する。
6254,マスク・チャージ,通常魔法,,,,,,87819421,(1)：自分の墓地の、「ＨＥＲＯ」モンスター１体と「チェンジ」速攻魔法カード１枚を対象として発動できる。そのカードを手札に加える。
6255,Ｃ・ＨＥＲＯ カオス,融合効果,9,闇,戦士,3000,2600,23204029,「Ｍ・ＨＥＲＯ」モンスター×２このカードはルール上「Ｅ・ＨＥＲＯ」モンスターとしても扱う。このカードは融合召喚でしか特殊召喚できない。(1)：このカードがモンスターゾーンに存在する限り、このカードの属性は「光」としても扱う。(2)：１ターンに１度、フィールドの表側表示のカード１枚を対象として発動できる。そのカードの効果をターン終了時まで無効にする。この効果は相手ターンでも発動できる。
6256,Ｍ・ＨＥＲＯ 光牙,融合効果,8,光,戦士,2500,1800,50608164,このカードは「マスク・チェンジ」の効果でのみ特殊召喚できる。(1)：このカードの攻撃力は相手フィールドのモンスターの数×５００アップする。(2)：１ターンに１度、自分の墓地の「ＨＥＲＯ」モンスター１体を除外し、フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターの攻撃力はターン終了時まで、この効果を発動するために除外したモンスターの攻撃力分ダウンする。この効果は相手ターンでも発動できる。
6257,Ｍ・ＨＥＲＯ カミカゼ,融合効果,8,風,戦士,2700,1900,22093873,このカードは「マスク・チェンジ」の効果でのみ特殊召喚できる。(1)：このカードは戦闘では破壊されない。(2)：このカードがモンスターゾーンに存在する限り、相手はバトルフェイズにモンスター１体でしか攻撃できない。(3)：このカードが戦闘で相手モンスターを破壊し墓地へ送った時に発動できる。自分はデッキから１枚ドローする。
6258,Ｍ・ＨＥＲＯ ダーク・ロウ,融合効果,6,闇,戦士,2400,1800,58481572,このカードは「マスク・チェンジ」の効果でのみ特殊召喚できる。(1)：このカードがモンスターゾーンに存在する限り、相手の墓地へ送られるカードは墓地へは行かず除外される。(2)：１ターンに１度、相手がドローフェイズ以外でデッキからカードを手札に加えた場合に発動できる。相手の手札をランダムに１枚選んで除外する。
6259,氷帝家臣エッシャー,効果,4,水,水,800,1000,24326617,(1)：相手の魔法＆罠ゾーンにカードが２枚以上存在する場合、このカードは手札から特殊召喚できる。
6260,Ｎｏ.９９ 希望皇龍ホープドラグーン,X効果,10,光,ドラゴン,4000,2000,51543904,レベル１０モンスター×３このカードは手札の「ＲＵＭ」魔法カード１枚を捨て、自分フィールドの「希望皇ホープ」モンスターの上にこのカードを重ねてＸ召喚する事もできる。(1)：１ターンに１度、自分の墓地の「Ｎｏ．」モンスター１体を対象として発動できる。そのモンスターを守備表示で特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化される。(2)：このカードを対象とするモンスターの効果が発動した時、このカードのＸ素材を１つ取り除いて発動できる。その発動を無効にし破壊する。
6261,ナナナ,通常魔法,,,,,,98931003,(1)：自分フィールドのレベル７またはランク７モンスター１体を対象として発動できる。そのモンスターの攻撃力・守備力はターン終了時まで７００ポイントアップする。
6262,ＤＤＤ制覇王カイゼル,効果,7,闇,悪魔,2800,2100,44186624,(1)：このカードがＰ召喚に成功した場合に発動する。相手フィールドの表側表示のカードの効果はターン終了時まで無効になる。(2)：このカードがＰ召喚に成功したターンのメインフェイズに１度、自分の魔法＆罠ゾーンのカードを２枚まで対象として発動できる。そのカードを破壊する。このターン、このカードは通常の攻撃に加えて、この効果で破壊したカードの数まで１度のバトルフェイズ中に攻撃できる。
6263,ＤＤプラウド・オーガ,P効果,6,闇,悪魔,2300,1500,81571633,【Ｐスケール：青８／赤８】(1)：１ターンに１度、５００ＬＰを払い、自分フィールドの「ＤＤ」モンスター１体を対象として発動できる。そのモンスターの攻撃力は５００アップする。(2)：もう片方の自分のＰゾーンに「ＤＤ」カードが存在しない場合、このカードのＰスケールは５になる。【モンスター効果】(1)：このカードが召喚に成功した時に発動できる。自分のエクストラデッキから、表側表示の闇属性Ｐモンスター１体を特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、この効果の発動後、ターン終了時まで自分は「ＤＤ」モンスターしか特殊召喚できない。
6264,ＤＤプラウド・シュバリエ,P効果,5,闇,悪魔,2000,700,17979378,【Ｐスケール：青６／赤６】(1)：１ターンに１度、５００ＬＰを払い、相手フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターの攻撃力は５００ダウンする。(2)：もう片方の自分のＰゾーンに「ＤＤ」カードが存在しない場合、このカードのＰスケールは５になる。【モンスター効果】(1)：このカードが召喚に成功した時に発動できる。自分のエクストラデッキから、表側表示の闇属性Ｐモンスター１体を手札に加える。
6265,ＥＭヘイタイガー,効果,4,地,獣戦士,1700,500,44364077,「ＥＭヘイタイガー」の効果は１ターンに１度しか使用できない。(1)：このカードが戦闘で相手モンスターを破壊し墓地へ送った時に発動できる。デッキから「ＥＭ」Ｐモンスター１体を手札に加える。
6266,ＥＭジンライノ,効果,3,光,岩石,200,1800,70458081,(1)：このカードがモンスターゾーンに存在する限り、相手は他の「ＥＭ」モンスターを攻撃対象に選択できない。(2)：このカードが墓地に存在し、「ＥＭジンライノ」以外の自分フィールドの「ＥＭ」カードが戦闘・効果で破壊される場合、代わりに墓地のこのカードを除外できる。
6267,ＥＭチアモール,P効果,2,地,獣,600,1000,17857780,【Ｐスケール：青５／赤５】(1)：自分フィールドのＰモンスターの攻撃力は３００アップする。【モンスター効果】「ＥＭチアモール」のモンスター効果は１ターンに１度しか使用できない。(1)：自分メインフェイズに元々の攻撃力と異なる攻撃力を持つモンスター１体を対象として発動できる。そのモンスターの攻撃力の数値によって以下の効果を適用する。●そのモンスターの攻撃力が元々の攻撃力より高い場合、そのモンスターの攻撃力は１０００アップする。●そのモンスターの攻撃力が元々の攻撃力より低い場合、そのモンスターの攻撃力は１０００ダウンする。
6268,ＥＭトランポリンクス,P効果,2,地,獣,300,300,43241495,【Ｐスケール：青４／赤４】「ＥＭトランポリンクス」のＰ効果は１ターンに１度しか使用できない。(1)：自分がＰ召喚に成功した時、自分または相手のＰゾーンのカード１枚を対象として発動できる。そのカードを持ち主の手札に戻す。【モンスター効果】(1)：このカードが召喚に成功した時、自分または相手のＰゾーンのカード１枚を対象として発動できる。そのカードを持ち主の手札に戻す。
6269,ブロック・スパイダー,効果,1,地,昆虫,0,100,79636594,「ブロック・スパイダー」の(2)の効果は１ターンに１度しか使用できない。(1)：このカードがモンスターゾーンに存在する限り、相手は他の昆虫族モンスターを攻撃対象にできない。(2)：このカードが特殊召喚に成功した場合に発動できる。デッキから「ブロック・スパイダー」１体を特殊召喚する。
6270,幻奏の音女カノン,効果,4,光,天使,1400,2000,16021142,「幻奏の音女カノン」の(1)の方法による特殊召喚は１ターンに１度しかできない。(1)：自分フィールドに「幻奏」モンスターが存在する場合、このカードは手札から特殊召喚できる。(2)：１ターンに１度、自分フィールドの「幻奏」モンスター１体を対象として発動できる。そのモンスターの表示形式を変更する。
6271,幻奏の音女セレナ,効果,4,光,天使,400,1900,42029847,(1)：天使族モンスターをアドバンス召喚する場合、このカードは２体分のリリースにできる。(2)：このカードが特殊召喚に成功したターン、自分は通常召喚に加えて１度だけ、自分メインフェイズに「幻奏」モンスター１体を召喚できる。
6272,幻奏の音女エレジー,効果,5,光,天使,2000,1200,79514956,(1)：このカードがモンスターゾーンに存在する限り、自分フィールドの特殊召喚された「幻奏」モンスターは効果では破壊されない。(2)：特殊召喚したこのカードがモンスターゾーンに存在する限り、自分フィールドの天使族モンスターの攻撃力は３００アップする。
6273,幻奏の音姫ローリイット・フランソワ,効果,7,光,天使,2300,1700,05908650,このカードの効果を発動するターン、自分は光属性以外のモンスターの効果を発動できない。(1)：１ターンに１度、自分の墓地の天使族・光属性モンスター１体を対象として発動できる。そのモンスターを手札に加える。
6274,超重武者カブ-１０,効果,4,地,機械,1000,2000,41307269,(1)：相手がモンスターの特殊召喚に成功した場合に発動できる。自分フィールドの攻撃表示の「超重武者」モンスターは全て守備表示になり、その守備力はターン終了時まで５００アップする。
6275,超重武者テンＢ-Ｎ,効果,4,地,機械,800,1800,78391364,「超重武者テンＢ-Ｎ」の(2)の効果は１ターンに１度しか使用できない。(1)：相手フィールドにモンスターが２体以上存在し、自分フィールドにモンスターが存在しない場合、このカードは手札から特殊召喚できる。(2)：このカードが召喚・特殊召喚に成功した場合、「超重武者テンＢ-Ｎ」以外の自分の墓地のレベル４以下の「超重武者」モンスター１体を対象として発動できる。そのモンスターを守備表示で特殊召喚する。
6276,超重武者装留ファイヤー・アーマー,効果,2,炎,機械,800,800,04786063,(1)：自分メインフェイズに自分フィールドの「超重武者」モンスター１体を対象として発動できる。自分の手札・フィールドからこのモンスターを装備カード扱いとしてその自分のモンスターに装備する。装備モンスターのレベルは５になる。(2)：このカードを手札から捨て、自分フィールドの守備表示の「超重武者」モンスター１体を対象として発動できる。ターン終了時まで、そのモンスターの守備力は８００ダウンし、戦闘・効果では破壊されない。この効果は相手ターンでも発動できる。
6277,超重武者装留グレート・ウォール,効果,3,地,機械,1200,1200,31181711,(1)：自分メインフェイズに自分フィールドの「超重武者」モンスター１体を対象として発動できる。自分の手札・フィールドからこのモンスターを守備力１２００アップの装備カード扱いとしてその自分のモンスターに装備する。(2)：このカードの効果でこのカードを装備したモンスターが攻撃対象に選択された時、装備されているこのカードを墓地へ送って発動できる。その攻撃を無効にし、装備モンスターの守備力を０にする。
6278,超重武者装留ブレイク・アーマー,効果,1,地,機械,0,500,77679716,(1)：自分メインフェイズに自分フィールドの「超重武者」モンスター１体を対象として発動できる。自分の手札・フィールドのこのモンスターを守備力１０００ダウンの装備カード扱いとしてその自分のモンスターに装備する。装備モンスターは戦闘では破壊されない。(2)：自分メインフェイズに、自分の墓地からこのカードを含む「超重武者装留ブレイク・アーマー」を全て除外し、元々の守備力よりも守備力が低い「超重武者」モンスター１体を対象として発動できる。そのモンスターの守備力と、その元々の守備力の差分のダメージを相手に与える。
6279,超重武者装留ビッグバン,効果,3,地,機械,1000,1000,03064425,(1)：自分メインフェイズに自分フィールドの「超重武者」モンスター１体を対象として発動できる。自分の手札・フィールドのこのモンスターを守備力１０００アップの装備カード扱いとしてそのモンスターに装備する。(2)：自分フィールドに守備表示の「超重武者」モンスターが存在し、相手がバトルフェイズに魔法・罠・モンスターの効果を発動した時、墓地のこのカードを除外して発動できる。その発動を無効にし破壊する。その後、フィールドのモンスターを全て破壊し、お互いのプレイヤーは１０００ダメージを受ける。
6280,エッジインプ・シザー,効果,3,闇,悪魔,1200,800,30068120,「エッジインプ・シザー」の効果は１ターンに１度しか使用できない。(1)：このカードが墓地に存在する場合、手札を１枚デッキの一番上に戻して発動できる。このカードを墓地から守備表示で特殊召喚する。
6281,ファーニマル・ライオ,効果,4,地,天使,1600,1200,66457138,(1)：このカードの攻撃宣言時に発動する。このカードの攻撃力はバトルフェイズ終了時まで５００アップする。
6282,ファーニマル・ベア,効果,3,地,天使,1200,800,03841833,「ファーニマル・ベア」の(1)(2)の効果は１ターンに１度、いずれか１つしか使用できない。(1)：手札のこのカードを墓地へ送って発動できる。デッキから「トイポット」１枚を選んで自分の魔法＆罠ゾーンにセットする。(2)：このカードをリリースし、自分の墓地の「融合」１枚を対象として発動できる。そのカードを手札に加える。
6283,ファーニマル・ドッグ,効果,4,地,天使,1700,1000,39246582,「ファーニマル・ドッグ」の効果は１ターンに１度しか使用できない。(1)：このカードが手札からの召喚・特殊召喚に成功した時に発動できる。デッキから「エッジインプ・シザー」１体または「ファーニマル・ドッグ」以外の「ファーニマル」モンスター１体を手札に加える。
6284,ファーニマル・オウル,効果,2,地,天使,1000,1000,65331686,「ファーニマル・オウル」の(1)(2)の効果は１ターンに１度、いずれか１つしか使用できない。(1)：このカードが手札からの召喚・特殊召喚に成功した時に発動できる。デッキから「融合」１枚を手札に加える。(2)：５００ＬＰを払って発動できる。自分の手札・フィールドから「デストーイ」融合モンスターによって決められた融合素材モンスターを墓地へ送り、その融合モンスター１体をエクストラデッキから融合召喚する。
6285,ファーニマル・キャット,効果,1,地,天使,700,300,02729285,「ファーニマル・キャット」の効果は１ターンに１度しか使用できない。(1)：このカードが融合召喚の素材となって墓地へ送られた場合、自分の墓地の「融合」１枚を対象として発動できる。そのカードを手札に加える。
6286,ファーニマル・ラビット,効果,1,地,天使,300,1200,38124994,「ファーニマル・ラビット」の効果は１ターンに１度しか使用できない。(1)：このカードが融合召喚の素材となって墓地へ送られた場合、自分の墓地の「エッジインプ・シザー」１体または「ファーニマル・ラビット」以外の「ファーニマル」モンスター１体を対象として発動できる。そのモンスターを手札に加える。
6287,クリフォート・ツール【準制限カード】,P,5,地,機械,1000,2800,65518099,【Ｐスケール：青９／赤９】(1)：自分は「クリフォート」モンスターしか特殊召喚できない。この効果は無効化されない。(2)：１ターンに１度、８００ＬＰを払って発動できる。デッキから「クリフォート・ツール」以外の「クリフォート」カード１枚を手札に加える。【モンスター情報】システムをレプリカモードで起動する準備をしています...C:\sophia\sefiroth.exe 実行中にエラーが発生しました。次の不明な発行元からのプログラムを実行しようとしています。C:\tierra\qliphoth.exe の実行を許可しますか？ <Y/N>...[Y]システムを自律モードで起動します。
6288,クリフォート・アーカイブ,P効果,6,地,機械,2400,1000,91907707,【Ｐスケール：青１／赤１】(1)：自分は「クリフォート」モンスターしか特殊召喚できない。この効果は無効化されない。(2)：自分フィールドの「クリフォート」モンスターの攻撃力は３００アップする。【モンスター効果】(1)：このカードはリリースなしで召喚できる。(2)：特殊召喚またはリリースなしで召喚したこのカードのレベルは４になり、元々の攻撃力は１８００になる。(3)：通常召喚したこのカードは、このカードのレベルよりも元々のレベルまたはランクが低いモンスターが発動した効果を受けない。(4)：このカードがリリースされた場合、フィールドのモンスター１体を対象として発動できる。そのモンスターを持ち主の手札に戻す。
6289,クリフォート・ゲノム,P効果,6,地,機械,2400,1000,37991342,【Ｐスケール：青９／赤９】(1)：自分は「クリフォート」モンスターしか特殊召喚できない。この効果は無効化されない。(2)：相手フィールドのモンスターの攻撃力は３００ダウンする。【モンスター効果】(1)：このカードはリリースなしで召喚できる。(2)：特殊召喚またはリリースなしで召喚したこのカードのレベルは４になり、元々の攻撃力は１８００になる。(3)：通常召喚したこのカードは、このカードのレベルよりも元々のレベルまたはランクが低いモンスターが発動した効果を受けない。(4)：このカードがリリースされた場合、フィールドの魔法・罠カード１枚を対象として発動できる。そのカードを破壊する。
6290,クリフォート・ディスク,P効果,7,地,機械,2800,1000,64496451,【Ｐスケール：青１／赤１】(1)：自分は「クリフォート」モンスターしか特殊召喚できない。この効果は無効化されない。(2)：自分フィールドの「クリフォート」モンスターの攻撃力は３００アップする。【モンスター効果】(1)：このカードはリリースなしで召喚できる。(2)：特殊召喚またはリリースなしで召喚したこのカードのレベルは４になり、元々の攻撃力は１８００になる。(3)：通常召喚したこのカードは、このカードのレベルよりも元々のレベルまたはランクが低いモンスターが発動した効果を受けない。(4)：「クリフォート」モンスターをリリースしてこのカードのアドバンス召喚に成功した時に発動できる。デッキから「クリフォート」モンスター２体を特殊召喚する。この効果で特殊召喚したモンスターはエンドフェイズに破壊される。
6291,クリフォート・シェル,P効果,8,地,機械,2800,1000,90885155,【Ｐスケール：青９／赤９】(1)：自分は「クリフォート」モンスターしか特殊召喚できない。この効果は無効化されない。(2)：相手フィールドのモンスターの攻撃力は３００ダウンする。【モンスター効果】(1)：このカードはリリースなしで召喚できる。(2)：特殊召喚またはリリースなしで召喚したこのカードのレベルは４になり、元々の攻撃力は１８００になる。(3)：通常召喚したこのカードは、このカードのレベルよりも元々のレベルまたはランクが低いモンスターが発動した効果を受けない。(4)：「クリフォート」モンスターをリリースして表側表示でアドバンス召喚に成功した場合、このカードは１度のバトルフェイズ中に２回攻撃でき、守備表示モンスターを攻撃した場合、その守備力を攻撃力が超えた分だけ戦闘ダメージを与える。
6292,アポクリフォート・キラー,効果,10,地,機械,3000,2600,27279764,このカードは特殊召喚できず、自分フィールドの「クリフォート」モンスター３体をリリースした場合のみ通常召喚できる。(1)：通常召喚したこのカードは魔法・罠カードの効果を受けず、このカードのレベルよりも元々のレベルまたはランクが低いモンスターが発動した効果も受けない。(2)：このカードがモンスターゾーンに存在する限り、特殊召喚されたモンスターの攻撃力・守備力は５００ダウンする。(3)：１ターンに１度、自分メインフェイズに発動できる。相手は自身の手札・フィールドのモンスター１体を墓地へ送らなければならない。
6293,星因士 シリウス,効果,4,光,戦士,1600,900,63274863,「星因士 シリウス」の効果は１ターンに１度しか使用できない。(1)：このカードが召喚・反転召喚・特殊召喚に成功した場合、自分の墓地の「テラナイト」モンスター５体を対象として発動できる。そのモンスター５体をデッキに戻してシャッフルする。その後、自分はデッキから１枚ドローする。
6294,星因士 プロキオン,効果,4,光,戦士,1300,1200,99668578,「星因士 プロキオン」の効果は１ターンに１度しか使用できない。(1)：このカードが召喚・反転召喚・特殊召喚に成功した場合に発動できる。手札の「テラナイト」モンスター１体を墓地へ送り、自分はデッキから１枚ドローする。
6295,星因士 ベテルギウス,効果,4,光,戦士,700,1900,26057276,「星因士 ベテルギウス」の効果は１ターンに１度しか使用できない。(1)：このカードが召喚・反転召喚・特殊召喚に成功した場合、「星因士 ベテルギウス」以外の自分の墓地の「テラナイト」カード１枚を対象として発動できる。このカードを墓地へ送り、対象のカードを手札に加える。
6296,シャドール・ハウンド,ﾘﾊﾞｰｽ,4,闇,魔法使い,1600,900,52551211,「シャドール・ハウンド」の(1)(2)の効果は１ターンに１度、いずれか１つしか使用できない。(1)：このカードがリバースした場合、自分の墓地の「シャドール」カード１枚を対象として発動できる。そのカードを手札に加える。(2)：このカードが効果で墓地へ送られた場合、フィールドのモンスター１体を対象として発動できる。そのモンスターの表示形式を変更する。この時、「シャドール」モンスター以外のリバースモンスターの効果は発動しない。
6297,魔竜星-トウテツ,効果,5,闇,幻竜,2200,0,99946920,「魔竜星-トウテツ」の(1)の効果は１ターンに１度しか使用できない。(1)：自分フィールドのこのカードが戦闘・効果で破壊され墓地へ送られた時に発動できる。デッキから「魔竜星-トウテツ」以外の「竜星」モンスター１体を守備表示で特殊召喚する。(2)：１ターンに１度、相手のメインフェイズ及びバトルフェイズに発動できる。自分フィールドの「竜星」モンスターのみをＳ素材としてＳ召喚する。(3)：このカードをＳ素材としたＳモンスターは、コントロールを変更できない。
6298,闇竜星-ジョクト,ﾁｭｰﾅｰ効果,2,闇,幻竜,0,2000,25935625,「闇竜星-ジョクト」の(1)(2)の効果は１ターンに１度、いずれか１つしか使用できない。(1)：自分フィールドのこのカードが戦闘・効果で破壊され墓地へ送られた時に発動できる。デッキから「闇竜星-ジョクト」以外の「竜星」モンスター１体を攻撃表示で特殊召喚する。(2)：自分フィールドにこのカード以外のモンスターが存在しない場合、手札の「竜星」カード２枚を墓地へ送って発動できる。デッキから攻撃力０と守備力０の「竜星」モンスターを１体ずつ特殊召喚する。この効果で特殊召喚したモンスターはエンドフェイズに除外される。
6299,竜胆ブルーム,効果,4,地,幻竜,0,1800,52339733,(1)：このカードがモンスターゾーンに存在し、自分のモンスターと相手のモンスターが戦闘を行うダメージ計算時に発動する。ダメージステップ終了時まで、戦闘を行うそれぞれのモンスターの攻撃力は、それぞれの守備力と同じ数値になる。
6300,ナイト・ドラゴリッチ,効果,4,闇,幻竜,1700,0,88724332,(1)：このカードがモンスターゾーンに存在する限り、幻竜族以外のデッキ・エクストラデッキから特殊召喚されている攻撃表示モンスターは守備表示になる。(2)：このカードがモンスターゾーンに存在する限り、幻竜族以外のデッキ・エクストラデッキから特殊召喚されたモンスターの守備力は、その元々の守備力分ダウンする。
6301,破面竜,効果,3,炎,幻竜,1400,1100,24218047,(1)：このカードが戦闘で破壊され墓地へ送られた時に発動できる。デッキから守備力１５００以下の幻竜族モンスター１体を特殊召喚する。
6302,マシンナーズ・メガフォーム,効果,8,地,機械,2600,1500,51617185,「マシンナーズ・メガフォーム」の(1)(2)の効果は１ターンに１度、いずれか１つしか使用できない。(1)：このカードをリリースして発動できる。手札・デッキから「マシンナーズ・メガフォーム」以外の「マシンナーズ」モンスター１体を特殊召喚する。(2)：このカードが墓地に存在し、自分フィールドの「マシンナーズ・フォートレス」が自分の墓地へ送られた場合、その「マシンナーズ・フォートレス」１体を墓地から除外して発動できる。このカードを墓地から特殊召喚する。
6303,轟雷帝ザボルグ,効果,8,光,雷,2800,1000,87602890,このカードはアドバンス召喚したモンスター１体をリリースしてアドバンス召喚できる。(1)：このカードがアドバンス召喚に成功した場合、フィールドのモンスター１体を対象として発動する。そのモンスターを破壊する。破壊したモンスターが光属性だった場合、その元々のレベルまたはランクの数だけ、お互いはそれぞれ自分のエクストラデッキからカードを選んで墓地へ送る。このカードが光属性モンスターをリリースしてアドバンス召喚に成功した場合、その時の効果に以下の効果を加える。●墓地へ送る相手のカードは自分が選ぶ。
6304,森の聖獣 ヴァレリフォーン,ﾁｭｰﾅｰ効果,2,地,獣,400,900,24096499,「森の聖獣 ヴァレリフォーン」の効果は１ターンに１度しか使用できない。(1)：手札を１枚捨て、「森の聖獣 ヴァレリフォーン」以外の自分の墓地のレベル２以下の獣族モンスター１体を対象として発動できる。そのモンスターを表側攻撃表示または裏側守備表示で特殊召喚する。
6305,レスキューラット,P効果,4,地,獣,300,100,50485594,【Ｐスケール：青５／赤５】「レスキューラット」のＰ効果はデュエル中に１度しか使用できない。(1)：自分のＰゾーンのこのカードを除外して発動できる。自分のエクストラデッキから表側表示の同名Ｐモンスター２体を手札に加える。【モンスター効果】(1)：このカードが召喚に成功したターン、自分のエクストラデッキに表側表示のレベル５以下のＰモンスターが存在する場合、このカードをリリースして発動できる。自分のエクストラデッキから表側表示のレベル５以下のＰモンスター１体を選び、デッキからその同名モンスター２体を特殊召喚する。この効果で特殊召喚したモンスターの効果は無効化され、エンドフェイズに破壊される。
6306,番犬-ウォッチドッグ,効果,1,炎,炎,0,0,86889202,「番犬-ウォッチドッグ」の効果は１ターンに１度しか使用できず、この効果を発動するターン、自分はモンスターを特殊召喚できない。(1)：このカードが召喚に成功したターンのメインフェイズ２に手札の魔法カード１枚を墓地へ送って発動できる。デッキから永続魔法カード１枚を選んで自分の魔法＆罠ゾーンにセットする。
6307,電光-雪花-,効果,4,光,雷,1700,1000,13974207,このカードは特殊召喚できない。(1)：このカードがモンスターゾーンに存在し、自分フィールドにセットされた魔法・罠カードが存在しない場合、お互いに魔法・罠カードをセットできず、フィールドにセットされた魔法・罠カードは発動できない。
6308,ブンボーグ００２,効果,2,地,機械,500,500,59368956,(1)：このカードが特殊召喚に成功した場合に発動できる。デッキから「ブンボーグ」カード１枚を手札に加える。(2)：このカードがモンスターゾーンに存在する限り、このカード以外の自分フィールドの機械族モンスターの攻撃力・守備力は５００アップする。
6309,Ｍｓ.ＪＵＤＧＥ,効果,4,光,悪魔,1800,600,86767655,「Ｍｓ．ＪＵＤＧＥ」の効果は１ターンに１度しか使用できない。(1)：このカードがモンスターゾーンに存在する限り、相手のカードの効果が発動した場合、その処理を行う時にコイントスを２回行い、２回とも表だった場合、その効果を無効にする。
6310,おねだりゴブリン,効果,4,地,悪魔,1000,2000,12152769,(1)：このカードが相手に戦闘ダメージを与えた場合に発動する。相手は手札を１枚このカードのコントローラーに渡してこの効果を無効にできる。渡さなかった場合、自分はデッキから「ゴブリン」カード１枚を手札に加える。
6311,崇光なる宣告者,儀式効果,12,光,天使,2000,3000,48546368,「宣告者の神託」により降臨。このカードは儀式召喚でしか特殊召喚できない。(1)：手札から天使族モンスター１体を墓地へ送って以下の効果を発動できる。●相手がモンスターの効果・魔法・罠カードを発動した時に発動できる。その発動を無効にし破壊する。●相手がモンスターを特殊召喚する際に発動できる。その特殊召喚を無効にし、そのモンスターを破壊する。
6312,デストーイ・シザー・ベアー,融合効果,6,闇,悪魔,2200,1800,85545073,「エッジインプ・シザー」＋「ファーニマル・ベア」(1)：このカードが戦闘で相手モンスターを破壊し墓地へ送った時に発動できる。そのモンスターを攻撃力１０００アップの装備カード扱いとしてこのカードに装備する。
6313,デストーイ・シザー・ウルフ,融合効果,6,闇,悪魔,2000,1500,11039171,「エッジインプ・シザー」＋「ファーニマル」モンスター１体以上このカードは上記のカードを融合素材にした融合召喚でのみ特殊召喚できる。(1)：このカードは、このカードの融合素材としたモンスターの数まで１度のバトルフェイズ中に攻撃できる。
6314,エルシャドール・エグリスタ,融合効果,7,炎,岩石,2450,1950,48424886,「シャドール」モンスター＋炎属性モンスターこのカードは融合召喚でのみエクストラデッキから特殊召喚できる。「エルシャドール・エグリスタ」の(1)の効果は１ターンに１度しか使用できない。(1)：相手がモンスターを特殊召喚する際に発動できる。その特殊召喚を無効にし、そのモンスターを破壊する。その後、自分は手札の「シャドール」カード１枚を墓地へ送る。(2)：このカードが墓地へ送られた場合、自分の墓地の「シャドール」魔法・罠カード１枚を対象として発動できる。そのカードを手札に加える。
6315,エルシャドール・シェキナーガ,融合効果,10,地,機械,2600,3000,74822425,「シャドール」モンスター＋地属性モンスターこのカードは融合召喚でのみエクストラデッキから特殊召喚できる。「エルシャドール・シェキナーガ」の(1)の効果は１ターンに１度しか使用できない。(1)：特殊召喚されたモンスターが効果を発動した時に発動できる。その発動を無効にし破壊する。その後、自分は手札の「シャドール」カード１枚を墓地へ送る。(2)：このカードが墓地へ送られた場合、自分の墓地の「シャドール」魔法・罠カード１枚を対象として発動できる。そのカードを手札に加える。
6316,始祖竜ワイアーム,融合効果,9,闇,ドラゴン,2700,2000,10817524,通常モンスター×２このカードは融合召喚でしか特殊召喚できない。(1)：「始祖竜ワイアーム」は自分フィールドに１体しか表側表示で存在できない。(2)：このカードがモンスターゾーンに存在する限り、このカードは通常モンスター以外のモンスターとの戦闘では破壊されず、このカード以外のモンスターの効果を受けない。
6317,邪竜星-ガイザー,S効果,7,闇,幻竜,2600,2100,43202238,チューナー＋チューナー以外のモンスター１体以上「邪竜星-ガイザー」の(2)(3)の効果はそれぞれ１ターンに１度しか使用できない。(1)：このカードは相手の効果の対象にならない。(2)：自分フィールドの「竜星」モンスター１体と相手フィールドのカード１枚を対象として発動できる。そのカードを破壊する。(3)：自分フィールドのこのカードが戦闘・効果で破壊され墓地へ送られた時に発動できる。デッキから幻竜族モンスター１体を守備表示で特殊召喚する。
